Name,Event,Final,Heat,Semi,Podium,AvgTime
KORZENIOWSKI Pawel,Men's 100m Butterfly,NA,3120,NA,0,3120
CONDORELLI Santo,Men's 100m Butterfly,NA,3152,NA,0,3152
KAWAMOTO Takeshi,Men's 100m Butterfly,NA,3153,NA,0,3153
KUSCH Marius,Men's 100m Butterfly,NA,3125,NA,0,3125
LANZA Vinicius,Men's 100m Butterfly,NA,3128,NA,0,3128
VEKOVISHCHEV Mikhail,Men's 100m Butterfly,NA,3149,NA,0,3149
PETERS Jacob Thomas Taylor,Men's 100m Butterfly,NA,3127,NA,0,3127
MORGAN David,Men's 100m Butterfly,NA,3151,NA,0,3151
SHAH Alexander,Men's 100m Freestyle,NA,3221,NA,0,3221
KONDIROLLI Olt,Men's 100m Freestyle,NA,3273,NA,0,3273
AL BAWWAB Yazan,Men's 100m Freestyle,NA,3291,NA,0,3291
FOWLER Andrew,Men's 100m Freestyle,NA,3323,NA,0,3323
TENZIN Sangay,Men's 100m Freestyle,NA,3477,NA,0,3477
IBRAHIM Mubal Azzam,Men's 100m Freestyle,NA,3517,NA,0,3517
IRO Edgar Richardson,Men's 100m Freestyle,NA,60.13,NA,0,60.13
ROSAFIO Danilo,Men's 100m Freestyle,NA,3174,NA,0,3174
STEPHENS Jagger,Men's 100m Freestyle,NA,3192,NA,0,3192
FELIX Delron,Men's 100m Freestyle,NA,3219,NA,0,3219
MARQUET Mathieu,Men's 100m Freestyle,NA,3236,NA,0,3236
RADULOVIC Bosko,Men's 100m Freestyle,NA,3240,NA,0,3240
TARIQ Syed Muhammad Haseeb,Men's 100m Freestyle,NA,3261,NA,0,3261
AMBALA Atuhaire Ogola,Men's 100m Freestyle,NA,3263,NA,0,3263
GANIRA Belly-Cresus,Men's 100m Freestyle,NA,3273,NA,0,3273
AL-YAMANI Mokhtar,Men's 100m Freestyle,NA,3052,NA,0,3052
CHETCUTI Andrew,Men's 100m Freestyle,NA,3107,NA,0,3107
ALMATROOSHI Yousuf,Men's 100m Freestyle,NA,3110,NA,0,3110
MITCHELL Stefano,Men's 100m Freestyle,NA,3124,NA,0,3124
KADIU Kledi,Men's 100m Freestyle,NA,3125,NA,0,3125
AL ADAWI Issa Samir Hamed,Men's 100m Freestyle,NA,3141,NA,0,3141
ZEPHIR Jean-Luc,Men's 100m Freestyle,NA,3154,NA,0,3154
MENA Miguel,Men's 100m Freestyle,NA,3159,NA,0,3159
HO Ian Yentou,Men's 100m Freestyle,NA,2989,NA,0,2989
BARSEGHYAN Artur,Men's 100m Freestyle,NA,3018,NA,0,3018
ANTONIOU Nikolas,Men's 100m Freestyle,NA,3000,NA,0,3000
TURSUNOV Khurshidjon,Men's 100m Freestyle,NA,3014,NA,0,3014
WETZLAR Peter,Men's 100m Freestyle,NA,3031,NA,0,3031
BOUTOUIL Samy,Men's 100m Freestyle,NA,3037,NA,0,3037
LIUKKONEN Ari-Pekka,Men's 100m Freestyle,NA,3048,NA,0,3048
ABEYSINGHE Matthew,Men's 100m Freestyle,NA,3062,NA,0,3062
MILJENIC Nikola,Men's 100m Freestyle,NA,2965,NA,0,2965
KHALAFALLA Ali,Men's 100m Freestyle,NA,2971,NA,0,2971
SCHREUDERS Mikel,Men's 100m Freestyle,NA,2971,NA,0,2971
MESTRE Alberto,Men's 100m Freestyle,NA,2984,NA,0,2984
GEBBIE Luke,Men's 100m Freestyle,NA,3004,NA,0,3004
SCHOOLING Joseph,Men's 100m Freestyle,NA,3024,NA,0,3024
HOCKIN Benjamin,Men's 100m Freestyle,NA,3041,NA,0,3041
MURATOVIC Emir,Men's 100m Freestyle,NA,3043,NA,0,3043
PIJNENBURG Stan,Men's 100m Freestyle,NA,2933,NA,0,2933
CARTER Dylan,Men's 100m Freestyle,NA,2946,NA,0,2946
WIERLING Damian,Men's 100m Freestyle,NA,2963,NA,0,2963
HANSON Robin,Men's 100m Freestyle,NA,2947,NA,0,2947
CHERUTI Meiron Amir,Men's 100m Freestyle,NA,2966,NA,0,2966
SANTOS Gabriel,Men's 100m Freestyle,NA,2973,NA,0,2973
SAHNOUNE Oussama,Men's 100m Freestyle,NA,3005,NA,0,3005
CHRISTOU Apostolos,Men's 100m Freestyle,NA,2930,NA,0,2930
SZABO Szebasztian,Men's 100m Freestyle,NA,2931,NA,0,2931
METELLA Mehdy,Men's 100m Freestyle,NA,2948,NA,0,2948
HE Junyi,Men's 100m Freestyle,NA,2930,NA,0,2930
SPAJARI Pedro,Men's 100m Freestyle,NA,2954,NA,0,2954
NAKAMURA Katsumi,Men's 100m Freestyle,NA,2928,NA,0,2928
McEVOY Cameron,Men's 100m Freestyle,NA,2952,NA,0,2952
SHEVTSOV Serhii,Men's 100m Freestyle,NA,2995,NA,0,2995
FINKE Robert,Men's 1500m Freestyle,879.65,887.2,NA,1,887.2
ROMANCHUK Mykhailo,Men's 1500m Freestyle,880.66,885.99,NA,1,885.99
WELLBROCK Florian,Men's 1500m Freestyle,880.91,888.53,NA,1,888.53
PALTRINIERI Gregorio,Men's 1500m Freestyle,885.01,889.17,NA,0,889.17
JERVIS Daniel,Men's 1500m Freestyle,895.48,890.22,NA,0,890.22
MARTYNYCHEV Kirill,Men's 1500m Freestyle,895.85,892.66,NA,0,892.66
AUBOECK Felix,Men's 1500m Freestyle,903.47,891.88,NA,0,891.88
FROLOV Serhii,Men's 1500m Freestyle,904.26,891.83,NA,0,891.83
WIFFEN Daniel,Men's 1500m Freestyle,NA,907.69,NA,0,907.69
ACOSTA Marcelo,Men's 1500m Freestyle,NA,927.37,NA,0,927.37
PRAWIRA Aflah,Men's 1500m Freestyle,NA,929.94,NA,0,929.94
DRUENNE Theo,Men's 1500m Freestyle,NA,977.2,NA,0,977.2
GYURTA Gergely,Men's 1500m Freestyle,NA,901.85,NA,0,901.85
NEILL Thomas,Men's 1500m Freestyle,NA,904.65,NA,0,904.65
BRINEGAR Michael,Men's 1500m Freestyle,NA,904.67,NA,0,904.67
JOHANSSON Victor,Men's 1500m Freestyle,NA,905.53,NA,0,905.53
KALMAR Akos,Men's 1500m Freestyle,NA,917.02,NA,0,917.02
CHENG Long,Men's 1500m Freestyle,NA,918.71,NA,0,918.71
ACERENZA Domenico,Men's 1500m Freestyle,NA,893.84,NA,0,893.84
NGUYEN Huy Hoang,Men's 1500m Freestyle,NA,900.24,NA,0,900.24
IPSEN Anton,Men's 1500m Freestyle,NA,901.58,NA,0,901.58
CHRISTIANSEN Henrik,Men's 1500m Freestyle,NA,911.14,NA,0,911.14
MICKA Jan,Men's 1500m Freestyle,NA,917.71,NA,0,917.71
McLOUGHLIN Jack,Men's 1500m Freestyle,NA,896.98,NA,0,896.98
MARTENS Lukas,Men's 1500m Freestyle,NA,899.45,NA,0,899.45
COSTA Guilherme,Men's 1500m Freestyle,NA,901.18,NA,0,901.18
EGOROV Aleksandr,Men's 1500m Freestyle,NA,906.55,NA,0,906.55
NORGAARD Alexander,Men's 1500m Freestyle,NA,928.7,NA,0,928.7
BINEDELL Martin,Men's 200m Backstroke,NA,118.47,NA,0,118.47
GLINTA Robert,Men's 200m Backstroke,NA,119.18,NA,0,119.18
TOUMARKIN Yakov,Men's 200m Backstroke,NA,119.65,NA,0,119.65
ATAYEV Merdan,Men's 200m Backstroke,NA,123.68,NA,0,123.68
SAKA Berke,Men's 200m Backstroke,NA,118.66,NA,0,118.66
LEVTEROV Kaloyan,Men's 200m Backstroke,NA,118.96,NA,0,118.96
XU Jiayu,Men's 200m Backstroke,NA,117.76,NA,0,117.76
RESTIVO Matteo,Men's 200m Backstroke,NA,118.36,NA,0,118.36
SANTOS Francisco Rogerio,Men's 200m Backstroke,NA,118.58,NA,0,118.58
TOMAC Mewen,Men's 200m Backstroke,NA,119.02,NA,0,119.02
SKIERKA Jakub,Men's 200m Backstroke,NA,119.3,NA,0,119.3
CEJKA Jan,Men's 200m Backstroke,NA,118.02,NA,0,118.02
DIENER Christian,Men's 200m Backstroke,NA,118.27,NA,0,118.27
CHRISTIANSON Bernhard Tyler,Men's 200m Breaststroke,NA,133.41,NA,0,133.41
MASKELYNE Ryan,Men's 200m Breaststroke,NA,135.33,NA,0,135.33
DOMINGUEZ RAMOS Josue,Men's 200m Breaststroke,NA,137.34,NA,0,137.34
VAKASAMA Taichi,Men's 200m Breaststroke,NA,137.35,NA,0,137.35
BASTIAN Izaak,Men's 200m Breaststroke,NA,137.4,NA,0,137.4
HORREGO Julio,Men's 200m Breaststroke,NA,137.51,NA,0,137.51
HERRERA Arnoldo,Men's 200m Breaststroke,NA,140.09,NA,0,140.09
AL-OBAIDLY Abdulaziz,Men's 200m Breaststroke,NA,143.22,NA,0,143.22
PETRASHOV Denis,Men's 200m Breaststroke,NA,130.07,NA,0,130.07
McKEE Anton,Men's 200m Breaststroke,NA,131.64,NA,0,131.64
ALLIKVEE Martin,Men's 200m Breaststroke,NA,132.6,NA,0,132.6
AL-WIR Amro,Men's 200m Breaststroke,NA,132.61,NA,0,132.61
POLONSKY Ron,Men's 200m Breaststroke,NA,132.71,NA,0,132.71
MURILLO VALDES Jorge,Men's 200m Breaststroke,NA,133.46,NA,0,133.46
BOBROVS Daniils,Men's 200m Breaststroke,NA,134.25,NA,0,134.25
SANES Adriel,Men's 200m Breaststroke,NA,136.87,NA,0,136.87
CHO Sungjae,Men's 200m Breaststroke,NA,130.17,NA,0,130.17
KOCH Marco,Men's 200m Breaststroke,NA,130.18,NA,0,130.18
ROTHBAUER Christopher,Men's 200m Breaststroke,NA,133.19,NA,0,133.19
WILSON Andrew,Men's 200m Breaststroke,NA,129.97,NA,0,129.97
CORBEAU Caspar,Men's 200m Breaststroke,NA,130.21,NA,0,130.21
OGRETIR Berkay,Men's 200m Breaststroke,NA,130.73,NA,0,130.73
GREENE Darragh,Men's 200m Breaststroke,NA,131.09,NA,0,131.09
KELZI Ayman,Men's 200m Butterfly,NA,119.57,NA,0,119.57
BALSINI Matin,Men's 200m Butterfly,NA,119.97,NA,0,119.97
DOLS Keanan,Men's 200m Butterfly,NA,120.25,NA,0,120.25
WONGCHAROEN Navaphat,Men's 200m Butterfly,NA,121.43,NA,0,121.43
NAGY Richard,Men's 200m Butterfly,NA,121.91,NA,0,121.91
BACHMANN Simon,Men's 200m Butterfly,NA,123.54,NA,0,123.54
HVAS Tomoe,Men's 200m Butterfly,NA,116.3,NA,0,116.3
QUAH Zheng Wen,Men's 200m Butterfly,NA,116.42,NA,0,116.42
HYLAND Brendan,Men's 200m Butterfly,NA,117.09,NA,0,117.09
PRAKASH Sajan,Men's 200m Butterfly,NA,117.22,NA,0,117.22
ZIRK Kregor,Men's 200m Butterfly,NA,117.26,NA,0,117.26
SANCOV Alexei,Men's 200m Butterfly,NA,117.55,NA,0,117.55
TROIANOVSKYI Ihor,Men's 200m Butterfly,NA,118.37,NA,0,118.37
VEGA TORRES Luis Emigdio,Men's 200m Butterfly,NA,119,NA,0,119
IVANOV Antani,Men's 200m Butterfly,NA,116.36,NA,0,116.36
KESYL Denys,Men's 200m Butterfly,NA,116.37,NA,0,116.37
MAJERSKI Jakub,Men's 200m Butterfly,NA,117.91,NA,0,117.91
MOON Seungwoo,Men's 200m Butterfly,NA,118.09,NA,0,118.09
MORGAN David,Men's 200m Butterfly,NA,120.27,NA,0,120.27
THOMASBERGER David,Men's 200m Butterfly,NA,116.04,NA,0,116.04
TEMPLE Matthew,Men's 200m Butterfly,NA,116.25,NA,0,116.25
du PREEZ Ethan,Men's 200m Butterfly,NA,118.5,NA,0,118.5
MARKOS Dimitrios,Men's 200m Freestyle,NA,109.16,NA,0,109.16
SCHREUDERS Mikel,Men's 200m Freestyle,NA,109.43,NA,0,109.43
VARGAS Joaquin,Men's 200m Freestyle,NA,109.93,NA,0,109.93
AL-YAMANI Mokhtar,Men's 200m Freestyle,NA,109.97,NA,0,109.97
ROBERTS Wesley Tikiariki,Men's 200m Freestyle,NA,110.41,NA,0,110.41
FREEMAN James,Men's 200m Freestyle,NA,112.87,NA,0,112.87
HASSOUNA Audai Rushdi Hamed,Men's 200m Freestyle,NA,116.27,NA,0,116.27
HEIDTMANN Jacob,Men's 200m Freestyle,NA,106.73,NA,0,106.73
SANCOV Alexei,Men's 200m Freestyle,NA,107.46,NA,0,107.46
LOKTEV Denis,Men's 200m Freestyle,NA,107.68,NA,0,107.68
SOBERS Alex,Men's 200m Freestyle,NA,108.09,NA,0,108.09
SIM Welson,Men's 200m Freestyle,NA,109.24,NA,0,109.24
UNLU Baturalp,Men's 200m Freestyle,NA,109.75,NA,0,109.75
GIREV Ivan,Men's 200m Freestyle,NA,107.11,NA,0,107.11
ATSU Jonathan,Men's 200m Freestyle,NA,107.75,NA,0,107.75
POTHAIN Jordan,Men's 200m Freestyle,NA,106.75,NA,0,106.75
JI Xinjie,Men's 200m Freestyle,NA,106.86,NA,0,106.86
HANSON Robin,Men's 200m Freestyle,NA,107.02,NA,0,107.02
KOZMA Dominik,Men's 200m Freestyle,NA,108.87,NA,0,108.87
MATSUMOTO Katsuhiro,Men's 200m Freestyle,NA,106.69,NA,0,106.69
MARTENS Lukas,Men's 200m Freestyle,NA,106.69,NA,0,106.69
WINNINGTON Elijah,Men's 200m Freestyle,NA,106.99,NA,0,106.99
SETIN SARTORI Murilo,Men's 200m Freestyle,NA,107.11,NA,0,107.11
HAFNAOUI Ahmed,Men's 400m Freestyle,223.36,225.68,NA,1,225.68
McLOUGHLIN Jack,Men's 400m Freestyle,223.52,225.2,NA,1,225.2
SMITH Kieran,Men's 400m Freestyle,223.94,225.25,NA,1,225.25
MUHLLEITNER Henning Bennet,Men's 400m Freestyle,224.07,223.67,NA,0,223.67
AUBOECK Felix,Men's 400m Freestyle,224.07,223.91,NA,0,223.91
DETTI Gabriele,Men's 400m Freestyle,224.88,224.67,NA,0,224.67
WINNINGTON Elijah,Men's 400m Freestyle,225.2,225.2,NA,0,225.2
MITCHELL Jake,Men's 400m Freestyle,225.39,225.38,NA,0,225.38
CISTERNAS Eduardo,Men's 400m Freestyle,NA,234.1,NA,0,234.1
MOGNE Igor,Men's 400m Freestyle,NA,236.56,NA,0,236.56
REVISHVILI Irakli,Men's 400m Freestyle,NA,237.49,NA,0,237.49
DERKOSKI Filip,Men's 400m Freestyle,NA,243.34,NA,0,243.34
MESTRE Alfonso,Men's 400m Freestyle,NA,227.14,NA,0,227.14
BAU Martin,Men's 400m Freestyle,NA,232.56,NA,0,232.56
VARGAS Joaquin,Men's 400m Freestyle,NA,232.94,NA,0,232.94
PRAWIRA Aflah,Men's 400m Freestyle,NA,235.08,NA,0,235.08
ROBERTS Wesley Tikiariki,Men's 400m Freestyle,NA,235.65,NA,0,235.65
SIM Welson,Men's 400m Freestyle,NA,238.25,NA,0,238.25
SOBERS Alex,Men's 400m Freestyle,NA,239.14,NA,0,239.14
FREEMAN James,Men's 400m Freestyle,NA,243.1,NA,0,243.1
DJAKOVIC Antonio,Men's 400m Freestyle,NA,225.82,NA,0,225.82
ALY ELKAMASH Marwan,Men's 400m Freestyle,NA,226.94,NA,0,226.94
ZIRK Kregor,Men's 400m Freestyle,NA,227.05,NA,0,227.05
EGOROV Aleksandr,Men's 400m Freestyle,NA,227.71,NA,0,227.71
CHRISTIANSEN Henrik,Men's 400m Freestyle,NA,228.88,NA,0,228.88
REID Zac,Men's 400m Freestyle,NA,229.85,NA,0,229.85
LEE Hojoon,Men's 400m Freestyle,NA,233.23,NA,0,233.23
AUBRY David,Men's 400m Freestyle,NA,235.01,NA,0,235.01
COSTA Guilherme,Men's 400m Freestyle,NA,225.99,NA,0,225.99
MARTENS Lukas,Men's 400m Freestyle,NA,226.3,NA,0,226.3
RAPSYS Danas,Men's 400m Freestyle,NA,226.32,NA,0,226.32
BIRD Kieran,Men's 400m Freestyle,NA,228.55,NA,0,228.55
de TULLIO Marco,Men's 400m Freestyle,NA,225.85,NA,0,225.85
ZOMBORI Gabor,Men's 400m Freestyle,NA,227.99,NA,0,227.99
JI Xinjie,Men's 400m Freestyle,NA,228.27,NA,0,228.27
MALYUTIN Martin,Men's 400m Freestyle,NA,229.49,NA,0,229.49
GIRARD de LANGLADE MPALI Adam,Men's 50m Freestyle,NA,1686,NA,0,1686
da SILVA VIEGAS Jose Joao,Men's 50m Freestyle,NA,1739,NA,0,1739
MIKO EYANGA Diosdado,Men's 50m Freestyle,NA,1863,NA,0,1863
NDJOUME Charly,Men's 50m Freestyle,NA,1642,NA,0,1642
GABER IBRAHIM Houssein,Men's 50m Freestyle,NA,1661,NA,0,1661
BUARO Ebrima Sorry,Men's 50m Freestyle,NA,1664,NA,0,1664
DINGILIUS WALLACE Shawn,Men's 50m Freestyle,NA,1666,NA,0,1666
ANWARI Fahim,Men's 50m Freestyle,NA,1687,NA,0,1687
KINONO Phillip,Men's 50m Freestyle,NA,1706,NA,0,1706
OTOGBE Mawupemon,Men's 50m Freestyle,NA,1568,NA,0,1568
PINA Troy,Men's 50m Freestyle,NA,1597,NA,0,1597
INTHAVONG Santisouk,Men's 50m Freestyle,NA,1564,NA,0,1564
ISHANOV Olimjon,Men's 50m Freestyle,NA,1572,NA,0,1572
BAH Mamadou,Men's 50m Freestyle,NA,1612,NA,0,1612
MUKTAR Abdelmalik,Men's 50m Freestyle,NA,1625,NA,0,1625
DLAMINI Simanga,Men's 50m Freestyle,NA,1654,NA,0,1654
WYSE Joshua,Men's 50m Freestyle,NA,1710,NA,0,1710
CADOGAN Shane,Men's 50m Freestyle,NA,1511,NA,0,1511
SEYDOU LANCINA Alassane,Men's 50m Freestyle,NA,1515,NA,0,1515
ISLAM Md Ariful,Men's 50m Freestyle,NA,1521,NA,0,1521
HEM Puch,Men's 50m Freestyle,NA,1531,NA,0,1531
DANSOU Marc Pascal Pierre,Men's 50m Freestyle,NA,1539,NA,0,1539
OUEDRAOGO Adama,Men's 50m Freestyle,NA,1522,NA,0,1522
MANIRAGUHA Eloi,Men's 50m Freestyle,NA,1538,NA,0,1538
MOOSA Shaquille,Men's 50m Freestyle,NA,1554,NA,0,1554
GEBBIE Luke,Men's 50m Freestyle,NA,1404,NA,0,1404
MURATOVIC Emir,Men's 50m Freestyle,NA,1411,NA,0,1411
BARSEGHYAN Artur,Men's 50m Freestyle,NA,1394,NA,0,1394
MASO Alaa,Men's 50m Freestyle,NA,1410,NA,0,1410
ANTONIOU Nikolas,Men's 50m Freestyle,NA,1418,NA,0,1418
EFREM Ghirmai,Men's 50m Freestyle,NA,1474,NA,0,1474
GOMES Filipe,Men's 50m Freestyle,NA,1440,NA,0,1440
MYAGMAR Delgerkhuu,Men's 50m Freestyle,NA,1503,NA,0,1503
BARNA Andrej,Men's 50m Freestyle,NA,1349,NA,0,1349
CARTER Dylan,Men's 50m Freestyle,NA,1366,NA,0,1366
FRASER Brett,Men's 50m Freestyle,NA,1366,NA,0,1366
MARTINEZ Enzo,Men's 50m Freestyle,NA,1372,NA,0,1372
TJON-A-JOE Renzo,Men's 50m Freestyle,NA,1376,NA,0,1376
GRASSI Santiago,Men's 50m Freestyle,NA,1387,NA,0,1387
HWANG Sunwoo,Men's 50m Freestyle,NA,1394,NA,0,1394
POPOVICI David,Men's 50m Freestyle,NA,1397,NA,0,1397
CONDORELLI Santo,Men's 50m Freestyle,NA,1334,NA,0,1334
GIGLER Heiko,Men's 50m Freestyle,NA,1337,NA,0,1337
KHALAFALLA Ali,Men's 50m Freestyle,NA,1342,NA,0,1342
CASTANO GARCIA Gabriel,Men's 50m Freestyle,NA,1352,NA,0,1352
CZERNIAK Konrad,Men's 50m Freestyle,NA,1353,NA,0,1353
HO Ian Yentou,Men's 50m Freestyle,NA,1365,NA,0,1365
SAHNOUNE Oussama,Men's 50m Freestyle,NA,1381,NA,0,1381
LIENDO EDWARDS Joshua,Men's 50m Freestyle,NA,1323,NA,0,1323
MILJENIC Nikola,Men's 50m Freestyle,NA,1334,NA,0,1334
CHERUTI Meiron Amir,Men's 50m Freestyle,NA,1321,NA,0,1321
YU Hexin,Men's 50m Freestyle,NA,1334,NA,0,1334
SEELIGER Bjoern,Men's 50m Freestyle,NA,1339,NA,0,1339
LIUKKONEN Ari-Pekka,Men's 50m Freestyle,NA,1345,NA,0,1345
TANDY Bradley,Men's 50m Freestyle,NA,1342,NA,0,1342
LOBANOVSKIJ Maxim,Men's 50m Freestyle,NA,1345,NA,0,1345
McEVOY Cameron,Men's 50m Freestyle,NA,1351,NA,0,1351
FINKE Robert,Men's 800m Freestyle,461.87,462.72,NA,1,462.72
PALTRINIERI Gregorio,Men's 800m Freestyle,462.11,467.73,NA,1,467.73
ROMANCHUK Mykhailo,Men's 800m Freestyle,462.33,461.28,NA,1,461.28
WELLBROCK Florian,Men's 800m Freestyle,462.68,461.77,NA,0,461.77
McLOUGHLIN Jack,Men's 800m Freestyle,465,466.94,NA,0,466.94
FROLOV Serhii,Men's 800m Freestyle,465.11,467.67,NA,0,467.67
AUBOECK Felix,Men's 800m Freestyle,469.14,465.73,NA,0,465.73
COSTA Guilherme,Men's 800m Freestyle,473.31,466.09,NA,0,466.09
JOHANSSON Victor,Men's 800m Freestyle,NA,469.14,NA,0,469.14
ACOSTA Marcelo,Men's 800m Freestyle,NA,483.01,NA,0,483.01
BAU Martin,Men's 800m Freestyle,NA,484.79,NA,0,484.79
REID Zac,Men's 800m Freestyle,NA,473.06,NA,0,473.06
NGUYEN Huy Hoang,Men's 800m Freestyle,NA,474.16,NA,0,474.16
KALMAR Akos,Men's 800m Freestyle,NA,475.85,NA,0,475.85
LOPES Jose,Men's 800m Freestyle,NA,476.15,NA,0,476.15
MARKOS Dimitrios,Men's 800m Freestyle,NA,478.68,NA,0,478.68
CHENG Long,Men's 800m Freestyle,NA,478.71,NA,0,478.71
CELIC Vuk,Men's 800m Freestyle,NA,484.85,NA,0,484.85
WIFFEN Daniel,Men's 800m Freestyle,NA,471.65,NA,0,471.65
MESTRE Alfonso,Men's 800m Freestyle,NA,472.07,NA,0,472.07
ALY ELKAMASH Marwan,Men's 800m Freestyle,NA,472.76,NA,0,472.76
NORGAARD Alexander,Men's 800m Freestyle,NA,473.5,NA,0,473.5
ASLAN Yigit,Men's 800m Freestyle,NA,476.18,NA,0,476.18
BIRD Kieran,Men's 800m Freestyle,NA,477.53,NA,0,477.53
DRUZHININ Ilia,Men's 800m Freestyle,NA,481.47,NA,0,481.47
CHRISTIANSEN Henrik,Men's 800m Freestyle,NA,468.37,NA,0,468.37
HAFNAOUI Ahmed,Men's 800m Freestyle,NA,469.14,NA,0,469.14
BRINEGAR Michael,Men's 800m Freestyle,NA,473,NA,0,473
IPSEN Anton,Men's 800m Freestyle,NA,474.98,NA,0,474.98
DETTI Gabriele,Men's 800m Freestyle,NA,469.47,NA,0,469.47
EGOROV Aleksandr,Men's 800m Freestyle,NA,469.97,NA,0,469.97
MICKA Jan,Men's 800m Freestyle,NA,479.04,NA,0,479.04
AUBRY David,Men's 800m Freestyle,NA,480.16,NA,0,480.16
KATAI Donata,Women's 100m Backstroke,NA,62.73,NA,0,62.73
PATEL Maana Patel,Women's 100m Backstroke,NA,65.2,NA,0,65.2
INCE Kimberly,Women's 100m Backstroke,NA,70.24,NA,0,70.24
SALCUTAN Tatiana,Women's 100m Backstroke,NA,61.59,NA,0,61.59
de BEVER ELLIOT McKenna,Women's 100m Backstroke,NA,62.09,NA,0,62.09
GALYER Ali,Women's 100m Backstroke,NA,62.65,NA,0,62.65
LARA Krystal,Women's 100m Backstroke,NA,63.07,NA,0,63.07
MARQUEZ Celina,Women's 100m Backstroke,NA,63.75,NA,0,63.75
TITUS Danielle,Women's 100m Backstroke,NA,64.53,NA,0,64.53
PASSON Felicity,Women's 100m Backstroke,NA,64.66,NA,0,64.66
NAZAROVA Diana,Women's 100m Backstroke,NA,66.99,NA,0,66.99
JALLOW Mimosa,Women's 100m Backstroke,NA,60.06,NA,0,60.06
GASTALDELLO Beryl,Women's 100m Backstroke,NA,60.69,NA,0,60.69
HILL Danielle,Women's 100m Backstroke,NA,60.86,NA,0,60.86
AU Hoi Shun Stephanie,Women's 100m Backstroke,NA,61.07,NA,0,61.07
GRABOWSKI Lena,Women's 100m Backstroke,NA,61.8,NA,0,61.8
ZEVINA Daryna,Women's 100m Backstroke,NA,61.97,NA,0,61.97
ARCILA HURTADO Isabella,Women's 100m Backstroke,NA,62.28,NA,0,62.28
LEE Eunji,Women's 100m Backstroke,NA,60.14,NA,0,60.14
KUBOVA Simona,Women's 100m Backstroke,NA,61.35,NA,0,61.35
BURIAN Katalin,Women's 100m Backstroke,NA,60.07,NA,0,60.07
COLEMAN Michelle,Women's 100m Backstroke,NA,60.54,NA,0,60.54
LOEYNING Ingeborg,Women's 100m Backstroke,NA,60.07,NA,0,60.07
CHEN Jie,Women's 100m Backstroke,NA,60.63,NA,0,60.63
RIEDEMANN Laura,Women's 100m Backstroke,NA,60.81,NA,0,60.81
GRAND PIERRE Emilie Faith,Women's 100m Breaststroke,NA,74.82,NA,0,74.82
SEMYONOVA Darya,Women's 100m Breaststroke,NA,76.37,NA,0,76.37
PINA Jayla,Women's 100m Breaststroke,NA,76.96,NA,0,76.96
ADAMS Taeyanna,Women's 100m Breaststroke,NA,85.36,NA,0,85.36
BA MATRAF Nooran,Women's 100m Breaststroke,NA,87.79,NA,0,87.79
SAJINA Aishath,Women's 100m Breaststroke,NA,93.59,NA,0,93.59
PODMANIKOVA Andrea,Women's 100m Breaststroke,NA,68.36,NA,0,68.36
PHEE Jinq En,Women's 100m Breaststroke,NA,68.4,NA,0,68.4
SCANLAN Tilali,Women's 100m Breaststroke,NA,70.01,NA,0,70.01
RAJIC Ema,Women's 100m Breaststroke,NA,70.02,NA,0,70.02
SANTOS SILVA Emily M,Women's 100m Breaststroke,NA,72.1,NA,0,72.1
FISHER-MARSTERS Kirsten Andrea,Women's 100m Breaststroke,NA,73.98,NA,0,73.98
KOK SHUN Alicia,Women's 100m Breaststroke,NA,75.42,NA,0,75.42
ATKINSON Alia,Women's 100m Breaststroke,NA,67.7,NA,0,67.7
SCHOUTEN Tes,Women's 100m Breaststroke,NA,67.89,NA,0,67.89
LECLUYSE Fanny,Women's 100m Breaststroke,NA,67.93,NA,0,67.93
RODRIGUEZ VILLANUEVA Byanca MelissaMEX,Women's 100m Breaststroke,NA,68.76,NA,0,68.76
SEBASTIAN Julia,Women's 100m Breaststroke,NA,69.35,NA,0,69.35
PETKOVA Diana,Women's 100m Breaststroke,NA,70.61,NA,0,70.61
WATANABE Kanako,Women's 100m Breaststroke,NA,67.01,NA,0,67.01
AOKI Reona,Women's 100m Breaststroke,NA,67.29,NA,0,67.29
HANSEN Jessica,Women's 100m Breaststroke,NA,67.5,NA,0,67.5
ZMUSHKA Alina,Women's 100m Breaststroke,NA,67.58,NA,0,67.58
WOG Kelsey Lauren,Women's 100m Breaststroke,NA,67.73,NA,0,67.73
VALL MONTERO Jessica,Women's 100m Breaststroke,NA,67.07,NA,0,67.07
SMITH Kierra,Women's 100m Breaststroke,NA,67.87,NA,0,67.87
FAST Emelie,Women's 100m Breaststroke,NA,67.98,NA,0,67.98
SHEIKHALIZADEHKHANGHAH Mariam,Women's 100m Butterfly,NA,61.37,NA,0,61.37
GAFFOOR Aniqah,Women's 100m Butterfly,NA,65.33,NA,0,65.33
MARDINI Yusra,Women's 100m Butterfly,NA,66.78,NA,0,66.78
WALSHE Ellen,Women's 100m Butterfly,NA,3575,NA,0,3575
RULE Remedy,Women's 100m Butterfly,NA,3608,NA,0,3608
SEBESTYEN Dalma,Women's 100m Butterfly,NA,3619,NA,0,3619
ALONSO Luana,Women's 100m Butterfly,NA,60.37,NA,0,60.37
PINTO Jeserik,Women's 100m Butterfly,NA,60.6,NA,0,60.6
SHEEHAN Miriam,Women's 100m Butterfly,NA,62.49,NA,0,62.49
